Ensembl,logFC,FDR,SYMBOL
ENSG00000140470,-2.068678088,4.02E-32,ADAMTS17
ENSG00000140873,-2.678846933,5.83E-25,ADAMTS18
ENSG00000145808,-1.491096634,7.32E-09,ADAMTS19
ENSG00000087116,0.409594422,0.210627775,ADAMTS2
ENSG00000173157,-1.531246934,1.26E-08,ADAMTS20
ENSG00000156140,-0.202421245,0.084789116,ADAMTS3
ENSG00000158859,3.280263977,1.08E-31,ADAMTS4
ENSG00000154736,-0.471579236,0.160381793,ADAMTS5
ENSG00000049192,0.154228611,0.329581657,ADAMTS6
ENSG00000136378,0.006276612,0.970407855,ADAMTS7
ENSG00000163638,3.31737196,4.60E-85,ADAMTS9
ENSG00000178031,1.106163023,4.81E-09,ADAMTSL1
ENSG00000156218,-1.322886778,6.13E-05,ADAMTSL3
ENSG00000105963,-0.962162699,2.25E-06,ADAP1
ENSG00000184060,0.878566234,0.000329354,ADAP2
ENSG00000160710,-0.011066707,0.934648739,ADAR
ENSG00000197381,0.100894661,0.624940969,ADARB1
ENSG00000185736,-1.888838124,6.99E-12,ADARB2
ENSG00000065457,-0.109321329,0.355199546,ADAT1
ENSG00000189007,0.069793878,0.68671504,ADAT2
ENSG00000213638,0.196779151,0.427541578,ADAT3
ENSG00000063761,0.145894114,0.40142422,ADCK1
ENSG00000133597,-0.407978535,0.005897582,ADCK2
ENSG00000173137,-0.087865442,0.660974617,ADCK5
ENSG00000164742,0.22666452,0.317580123,ADCY1
ENSG00000078295,1.698512423,2.75E-40,ADCY2
ENSG00000138031,-1.017061127,1.14E-17,ADCY3
ENSG00000173175,-0.964465086,1.21E-07,ADCY5
ENSG00000174233,0.181869598,0.114988088,ADCY6
ENSG00000121281,0.310251689,0.120551456,ADCY7
ENSG00000155897,1.105355549,7.55E-06,ADCY8
ENSG00000162104,0.172347868,0.147454327,ADCY9
ENSG00000141433,1.286829837,3.97E-07,ADCYAP1
ENSG00000078549,-1.527707657,1.40E-13,ADCYAP1R1
ENSG00000087274,0.205223105,0.073025176,ADD1
